Red,Blue,Yellow,Winner
Min Min,Samus,,Blue
Duck Hunt,Luigi,Falco,Blue
Meta Knight,Min Min,Little Mac,Yellow
Villager,Samus,,Blue
Yoshi,Kirby,,Red
R.O.B.,Simon,Ganondorf,Red
Min Min,Marth,,Red
Bowser,Simon,Wolf,Red
Isabelle,Mii Gunner,Wii Fit Trainer,Red
Dark Samus,Ike,,Blue
Banjo & Kazooie,Incineroar,,Blue
Pichu,Bowser,Ike,Yellow
Mr. Game & Watch,Daisy,Isabelle,Yellow
Ridley,Pac-Man,Pichu,Blue
Incineroar,Jigglypuff,,Blue
Kirby,Rosalina & Luma,Random,Red
Donkey Kong,Pac-Man,Snake,Red
Shulk,Villager,Richter,Yellow
Inkling,Shulk,Pit,Red
,King K. Rool,Little Mac,Blue
Wii Fit Trainer,King K. Rool,Sheik,Yellow
Chrom,Cloud,Mii Gunner,Yellow
Mega Man,Bowser,Isabelle,Yellow
,Ganondorf,Random,Blue
Mr. Game & Watch,Snake,Joker,Yellow
Richter,,Donkey Kong,Red
Sora,Pyra & Mythra,Sheik,Blue
Luigi,Corrin,,Red
Donkey Kong,Cloud,Jigglypuff,Blue
Corrin,Isabelle,Lucas,Yellow
Inkling,King K. Rool,,Red
Kirby,Luigi,Link,Yellow
Mii Gunner,Corrin,Steve,Red
Random,Mii Gunner,Olimar,Blue
Shulk,King K. Rool,,Blue
,Byleth,Hero,Yellow
Samus,Jigglypuff,Cloud,Red
,Pyra & Mythra,Olimar,Blue
Peach,Pyra & Mythra,,Blue
Ganondorf,Palutena,Chrom,Blue
Greninja,Pit,Terry,Red
Yoshi,Falco,Little Mac,Red
Robin,Wario,Peach,Red
Samus,Pit,Ganondorf,Blue
Snake,Bowser Jr.,Ridley,Red
Bowser,Palutena,Little Mac,Yellow
,Mii Gunner,King K. Rool,Blue
Random,Mega Man,Ganondorf,Blue
Min Min,Banjo & Kazooie,Random,Blue
Banjo & Kazooie,,Corrin,Red
Jigglypuff,Daisy,Olimar,Yellow
Lucina,Mii Swordfighter,Kirby,Yellow
Isabelle,Wii Fit Trainer,Samus,Red
Snake,,Wii Fit Trainer,Yellow
Zero Suit Samus,Ridley,Duck Hunt,Blue
Ken,Lucas,Incineroar,Blue
Pit,Simon,Piranha Plant,Red
Sheik,Fox,Mii Brawler,Yellow
R.O.B.,Min Min,Donkey Kong,Red
Bowser,Steve,Ike,Blue
Inkling,Pikachu,Samus,Blue
Ken,Joker,Little Mac,Red
Yoshi,Link,Little Mac,Red
Sonic,Robin,Fox,Red
Inkling,,Lucina,Red
Diddy Kong,Zero Suit Samus,Daisy,Red
Ganondorf,Kirby,Ice Climbers,Blue
Bowser Jr.,Young Link,Sheik,Blue
Chrom,,Bowser,Yellow
Pac-Man,Joker,Dr. Mario,Yellow
,Young Link,Min Min,Blue
Inkling,King K. Rool,,Red
Random,Link,Sora,Blue
Duck Hunt,Sephiroth,,Red
Villager,Robin,Wolf,Yellow
Inkling,,Piranha Plant,Yellow
Falco,Ryu,Hero,Red
Mewtwo,Dark Samus,Isabelle,Yellow
Lucina,Ike,Young Link,Yellow
Ganondorf,Corrin,,Red
Toon Link,Toon Link,,Red
Kirby,"Bowser Jr,",Richter,Blue
Random,Wario,Random,Yellow
Pichu,Samus,Pikachu,Blue
Pit,Mario,,Blue
Zero Suit Samus,Roy,,Blue
Mario,Steve,Banjo & Kazooie,Yellow
Roy,Mega Man,Mii Gunner,Yellow
Villager,Samus,Sora,Blue
Mii Brawler,Cloud,,Red
Bayonetta,Daisy,Meta Knight,Blue
Byleth,Mii Gunner,Sora,Blue
R.O.B.,Wario,Wolf,Blue
,Terry,Mewtwo,Blue
Mii Gunner,Villager,Piranha Plant,Yellow
Dark Pit,Cloud,Simon,Blue
Kirby,Richter,Random,Red
Mario,"Bowser Jr,",,Blue
Daisy,Mii Gunner,Peach,Blue
Ness,Pac-Man,Hero,Yellow
Ryu,Lucina,Isabelle,Blue
Joker,Samus,,Blue
R.O.B.,Ridley,Banjo & Kazooie,Yellow
Captain Falcon,Cloud,Joker,Yellow
Piranha Plant,Wario,Yoshi,Red
Piranha Plant,,Ness,Yellow
Mewtwo,Terry,Mr. Game & Watch,Yellow
Hero,,Little Mac,Yellow
Dark Samus,Samus,,Blue
Banjo & Kazooie,Pit,Lucina,Red
Donkey Kong,Ridley,Pichu,Red
Lucas,Samus,Ice Climbers,Blue
Ganondorf,Rosalina & Luma,Captain Falcon,Red
Diddy Kong,Fox,Daisy,Red
Lucario,"Bowser Jr,",Hero,Blue
,Pyra & Mythra,Little Mac,Yellow
Min Min,Mii Gunner,Toon Link,Red
Ganondorf,Fox,Meta Knight,Red
Villager,Donkey Kong,Pyra & Mythra,Blue
Sheik,Toon Link,Greninja,Yellow
Rosalina & Luma,Mario,Shulk,Red
Banjo & Kazooie,Byleth,Fox,Red
Pac-Man,Luigi,Meta Knight,Blue
Kazuya,Little Mac,Duck Hunt,Yellow
Ganondorf,Lucina,Dark Pit,Yellow
Terry,Piranha Plant,Wii Fit Trainer,Red
Cloud,Mii Swordfighter,Meta Knight,Blue
Wario,Daisy,Diddy Kong,Blue
Sonic,Cloud,Duck Hunt,Yellow
Robin,Pyra & Mythra,Little Mac,Blue
Snake,Greninja,Zero Suit Samus,Blue
Sonic,Ike,Joker,Red
Rosalina & Luma,Mii Swordfighter,Steve,Blue
Dark Samus,Samus,Roy,Blue
Mario,,,
Villager,Marth,Kazuya,Blue
Joker,Diddy Kong,,Red
Yoshi,Bowser Jr.,Luigi,Red
Diddy Kong,Sephiroth,Roy,Blue
Mii Swordfighter,Bowser,Little Mac,Yellow
Lucina,Kazuya,Ness,Yellow
Min Min,Ike,,Red
Ice Climbers,Pyra & Mythra,Rosalina & Luma,Blue
Min Min,Link,Shulk,Red
Peach,Daisy,Ness,Red
Daisy,Luigi,Mario,Yellow
Terry,Pit,Incineroar,Blue
Toon Link,Diddy Kong,Dr. Mario,Red
Mario,King K. Rool,,Red
Rosalina & Luma,Palutena,Terry,Blue
Ryu,Cloud,Lucas,Blue
Kirby,Hero,Inkling,Yellow
,,Hero,
Sonic,R.O.B.,Toon Link,Red
Mr. Game & Watch,Luigi,Jigglypuff,Yellow
Ken,Ryu,Hero,Yellow
Donkey Kong,Ken,Ness,Yellow
Sonic,Falco,Ness,Blue
Greninja,Banjo & Kazooie,Rosalina & Luma,Blue
Samus,Ike,Hero,Red
Olimar,King Dedede,Lucas,Blue
Inkling,Falco,Sonic,Red
Dark Pit,,Dark Samus,Red
Diddy Kong,Pichu,Marth,Red
Dr. Mario,Palutena,Sonic,Red
Random,Ganondorf,Palutena,Blue
Captain Falcon,Mii Swordfighter,Mii Brawler,Blue
Lucario,Bayonetta,Steve,Yellow
Donkey Kong,Random,Mii Swordfighter,Red
Rosalina & Luma,Lucario,Richter,Red
Samus,Sora,Toon Link,Red
Ridley,Mii Brawler,Isabelle,Yellow
,,Meta Knight,
Palutena,Corrin,,Blue
Kirby,Terry,,Red
Banjo & Kazooie,Incineroar,Ike,Red
King Dedede,Greninja,Mario,Yellow
King Dedede,Mii Swordfighter,Hero,Red
Mario,Corrin,,Blue
Luigi,Diddy Kong,Piranha Plant,Yellow
King Dedede,R.O.B.,Greninja,Red
Kirby,Pyra & Mythra,Banjo & Kazooie,Yellow
Rosalina & Luma,Mii Swordfighter,Duck Hunt,Red
,Bowser,Byleth,Blue
Bowser,Samus,,Red
Snake,Zero Suit Samus,Bayonetta,Red
King Dedede,Banjo & Kazooie,,Red
Pit,Dark Pit,Palutena,Yellow
Joker,Shulk,Min Min,Red
Palutena,Random,Mega Man,Red
Simon,Wolf,Olimar,Red
Bayonetta,Ridley,Lucario,Yellow
Dark Samus,Pichu,,Red
Marie,Ridley,Pac-Man,Yellow
Sonic,Chrom,Snake,Red
Mewtwo,Random,Marth,Red
Peach,Samus,Ike,Blue
King Dedede,Lucas,Dark Pit,Blue
,Pyra & Mythra,Banjo & Kazooie,Blue
Robin,Pac-Man,Diddy Kong,Blue
R.O.B.,Ryu,Luigi,Blue
Inkling,"Bowser Jr,",,Blue
Terry,Sephiroth,Meta Knight,Red
Ike,Pikachu,Isabelle,Red
Sephiroth,Mii Gunner,Sonic,Yellow
Rosalina & Luma,Dr. Mario,Fox,Red
,,Little Mac,
Donkey Kong,Wii Fit Trainer,Falco,Blue
Bowser,Ridley,Mii Brawler,Red
Min Min,Bowser Jr.,Mega Man,Blue
Greninja,Dark Samus,,Blue
Toon Link,Mii Gunner,Isabelle,Yellow
King K. Rool,Terry,Yoshi,Yellow
Luigi,Piranha Plant,Mewtwo,Yellow
Zelda,Wolf,Snake,Red
Meta Knight,,Byleth,Red
Steve,Pac-Man,Little Mac,Yellow
Cloud,Piranha Plant,Marth,Yellow
Robin,King K. Rool,Olimar,Red
Daisy,Zelda,Mario,Yellow
King Dedede,Richter,Mii Swordfighter,Red
Daisy,,Inkling,Yellow
Robin,Bayonetta,Mii Brawler,Blue
Diddy Kong,King K. Rool,Duck Hunt,Red
Kazuya,,Little Mac,Yellow
Lucina,Wii Fit Trainer,Kazuya,Blue
Piranha Plant,,Greninja,Red
Steve,King K. Rool,Fox,Blue
,Sephiroth,,
Corrin,Dark Samus,,Red
Kirby,,Bowser,Red
Terry,Mii Gunner,Ganondorf,Red
Samus,Corrin,Cloud,Blue
Banjo & Kazooie,Marth,R.O.B.,Blue
Ike,,,Blue
Terry,Pac-Man,Hero,Yellow
Sonic,Banjo & Kazooie,Pikachu,Blue
Lucario,King K. Rool,Mii Swordfighter,Blue
Joker,Ness,,Red
Ike,Dark Pit,Mega Man,Red
Random,Samus,,Blue
Bowser,Robin,Banjo & Kazooie,Blue
Lucas,R.O.B.,Roy,Blue
Robin,Jigglypuff,King Dedede,Red
Wii Fit Trainer,Dr. Mario,Pac Man,Red
Pit,Ganondorf,Terry,Yellow
Luigi,Roy,,Red
,Byleth,Olimar,Blue
Samus,Roy,Donkey Kong,Blue
Villager,Alph,Donkey Kong,Red
Kirby,Samus,Greninja,Red
Shulk,Diddy Kong,Mii Gunner,Blue
Ridley,Pokemon Trainer,Mii Brawler,Red
Peach,Kirby,Falco,Blue
Duck Hunt,Greninja,Ridley,Blue
Kazuya,Sheik,Mii Swordfighter,Yellow
Min Min,Falco,R.O.B.,Red
Rosalina & Luma,Pichu,Wolf,Yellow
Chrom,Min Min,Simon,Blue
Rosalina & Luma,Lucas,Min Min,Red
Donkey Kong,R.O.B.,Sora,Blue
Cloud,Ike,Wii Fit Trainer,Blue
Zero Suit samus,Lucas,Wii Fit Trainer,Red
Steve,Dr. Mario,Mr. Game & Watch,Red
Mega Man,Bowser Jr.,Mario,Blue
King Dedede,Terry,Ness,Yellow
Zelda,Mega Man,Roy,Blue
Banjo & Kazooie,Bowser,,Blue
Banjo & Kazooie,,Ness,Red
Sonic,King K. Rool,,Blue
Mii Brawler,Falco,Ridley,Blue
Link,Sora,Corrin,Red
Ice Climbers,Pac-Man,Captain Falcon,Red
Bowser,Richter,Piranha Plant,Blue
Byleth,Captain Falcon,Kazuya,Yellow
Villager,Kazuya,Shulk,Blue
Peach,Sephiroth,Greninja,Blue
Bowser,Lucina,Cloud,Blue
Toon Link,Falco,Ice Climbers,Red
Robin,Olimar,Ridley,Yellow
Captain Falcon,Sephiroth,Joker,Yellow
